GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
config,com.quorum.tessera.config.util.jaxb,MarshallerBuilder,0,73,0,4,0,22,0,8,0,6
config,com.quorum.tessera.config.util.jaxb,UnmarshallerBuilder,0,68,0,4,0,20,0,8,0,6
config,com.quorum.tessera.config.util.jaxb,MediaType,0,37,0,0,0,7,0,3,0,3
config,com.quorum.tessera.config.apps,TesseraAppFactory,0,69,0,4,0,12,0,9,0,7
config,com.quorum.tessera.config,KeyData,0,146,0,0,0,60,0,30,0,30
config,com.quorum.tessera.config,AppType,0,108,0,0,0,11,0,3,0,3
config,com.quorum.tessera.config,SslAuthenticationMode,0,24,0,0,0,2,0,1,0,1
config,com.quorum.tessera.config,PrivateKeyType,0,24,0,0,0,2,0,1,0,1
config,com.quorum.tessera.config,KeyVaultType,0,24,0,0,0,2,0,1,0,1
config,com.quorum.tessera.config,PrivateKeyData,0,56,0,0,0,24,0,12,0,12
config,com.quorum.tessera.config,Config,0,187,0,10,0,59,0,32,0,27
config,com.quorum.tessera.config,Version,0,5,0,0,0,2,0,2,0,2
config,com.quorum.tessera.config,ConfigFactory,0,6,0,0,0,1,0,1,0,1
config,com.quorum.tessera.config,SslConfig,0,223,0,0,0,91,0,46,0,46
config,com.quorum.tessera.config,DeprecatedServerConfig,0,179,0,6,0,49,0,19,0,16
config,com.quorum.tessera.config,KeyDataConfig,0,63,0,0,0,23,0,9,0,9
config,com.quorum.tessera.config,FeatureToggles,0,37,0,4,0,9,0,7,0,5
config,com.quorum.tessera.config,CrossDomainConfig,0,63,0,0,0,16,0,9,0,9
config,com.quorum.tessera.config,JdbcConfig,0,46,0,0,0,19,0,10,0,10
config,com.quorum.tessera.config,ObjectFactory,0,18,0,0,0,3,0,3,0,3
config,com.quorum.tessera.config,InfluxConfig,0,54,0,4,0,18,0,13,0,11
config,com.quorum.tessera.config,SslTrustMode,0,54,0,0,0,2,0,1,0,1
config,com.quorum.tessera.config,CommunicationType,0,34,0,0,0,4,0,1,0,1
config,com.quorum.tessera.config,JaxbConfigFactory,0,191,0,14,0,46,0,12,0,5
