GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
data-migration,com.quorum.tessera.data.migration,JdbcDataExporter,0,84,0,4,0,17,0,5,0,3
data-migration,com.quorum.tessera.data.migration,H2DataExporter,0,32,0,0,0,6,0,2,0,2
data-migration,com.quorum.tessera.data.migration,JdbcCallback,0,9,0,0,0,3,0,1,0,1
data-migration,com.quorum.tessera.data.migration,SqliteLoader,0,60,0,2,0,13,0,4,0,3
data-migration,com.quorum.tessera.data.migration,StoreType,0,34,0,0,0,2,0,1,0,1
data-migration,com.quorum.tessera.data.migration,ExportType,0,34,0,0,0,4,0,1,0,1
data-migration,com.quorum.tessera.data.migration,DataExporterFactory,0,26,0,4,0,5,0,3,0,1
data-migration,com.quorum.tessera.data.migration,SqliteDataExporter,0,32,0,0,0,6,0,2,0,2
data-migration,com.quorum.tessera.data.migration,StoreLoaderException,0,4,0,0,0,2,0,1,0,1
data-migration,com.quorum.tessera.data.migration,StoreLoader.new HashMap() {...},0,24,0,0,0,5,0,1,0,1
data-migration,com.quorum.tessera.data.migration,CmdLineExecutor,0,316,0,6,0,108,0,5,0,2
data-migration,com.quorum.tessera.data.migration,Main,14,5,0,0,6,2,1,1,1,1
data-migration,com.quorum.tessera.data.migration,StoreLoader,0,13,0,0,0,2,0,2,0,2
data-migration,com.quorum.tessera.data.migration,UriCallback,0,19,0,0,0,5,0,1,0,1
data-migration,com.quorum.tessera.data.migration,BdbDumpFile,0,45,0,4,0,13,0,4,0,2
data-migration,com.quorum.tessera.data.migration,DirectoryStoreFile,0,45,0,0,0,9,0,5,0,5
