GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
enclave-api,com.quorum.tessera.enclave,EnclaveImpl,0,303,0,6,0,61,0,17,0,14
enclave-api,com.quorum.tessera.enclave,PayloadEncoder,0,4,0,0,0,1,0,1,0,1
enclave-api,com.quorum.tessera.enclave,BinaryEncoder,0,61,0,0,0,18,0,3,0,3
enclave-api,com.quorum.tessera.enclave,EnclaveFactory.new EnclaveFactory() {...},0,3,0,0,0,1,0,1,0,1
enclave-api,com.quorum.tessera.enclave,PayloadEncoderImpl,0,276,0,8,0,58,0,8,0,4
enclave-api,com.quorum.tessera.enclave,Enclave,0,2,0,0,0,2,0,2,0,2
enclave-api,com.quorum.tessera.enclave,EnclaveException,0,4,0,0,0,2,0,1,0,1
enclave-api,com.quorum.tessera.enclave,EnclaveClient,0,9,0,2,0,3,0,2,0,1
enclave-api,com.quorum.tessera.enclave,InvalidRecipientException,0,4,0,0,0,2,0,1,0,1
enclave-api,com.quorum.tessera.enclave,RawTransactionBuilder,0,39,0,0,0,10,0,6,0,6
enclave-api,com.quorum.tessera.enclave,EnclaveFactory,0,66,0,4,0,14,0,7,0,5
enclave-api,com.quorum.tessera.enclave,EnclaveClientFactory,0,6,0,0,0,1,0,1,0,1
enclave-api,com.quorum.tessera.enclave,EncodedPayload,0,39,0,0,0,14,0,7,0,7
enclave-api,com.quorum.tessera.enclave,EnclaveNotAvailableException,0,8,0,0,0,4,0,2,0,2
enclave-api,com.quorum.tessera.enclave,EncodedPayloadBuilder,0,74,0,0,0,18,0,9,0,9
enclave-api,com.quorum.tessera.enclave,RawTransaction,0,107,0,10,0,23,0,12,0,7
