GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
enclave-jaxrs,com.quorum.tessera.enclave.rest,ClientCallback,0,18,0,2,0,5,0,2,0,1
enclave-jaxrs,com.quorum.tessera.enclave.rest,Main,119,0,2,0,32,0,5,0,4,0
enclave-jaxrs,com.quorum.tessera.enclave.rest,EnclaveResource,0,266,0,2,0,65,0,16,0,15
enclave-jaxrs,com.quorum.tessera.enclave.rest,DefaultExceptionMapper,0,31,0,2,0,10,0,5,0,4
enclave-jaxrs,com.quorum.tessera.enclave.rest,RestfulEnclaveClientFactory,0,56,0,4,0,11,0,7,0,5
enclave-jaxrs,com.quorum.tessera.enclave.rest,EnclavePayload,0,24,0,0,0,10,0,7,0,7
enclave-jaxrs,com.quorum.tessera.enclave.rest,EnclaveApplication,0,26,0,0,0,4,0,2,0,2
enclave-jaxrs,com.quorum.tessera.enclave.rest,EnclaveRawPayload,0,38,0,0,0,16,0,11,0,11
enclave-jaxrs,com.quorum.tessera.enclave.rest,EnclaveUnencryptPayload,0,17,0,0,0,7,0,5,0,5
enclave-jaxrs,com.quorum.tessera.enclave.rest,RestfulEnclaveClient,0,468,1,5,0,129,1,28,0,26
