GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jaxrs-service,com.quorum.tessera.q2t,TransactionResource,0,264,0,4,0,79,0,16,0,14
jaxrs-service,com.quorum.tessera.q2t,Q2TRestApp,0,5,0,0,0,2,0,1,0,1
jaxrs-service,com.quorum.tessera.api.filter,IPWhitelistFilter,0,97,1,11,0,26,1,11,0,6
jaxrs-service,com.quorum.tessera.api.filter,LoggingFilter,0,86,0,0,0,11,0,6,0,6
jaxrs-service,com.quorum.tessera.api.exception,WebApplicationExceptionMapper,0,54,0,2,0,17,0,4,0,3
jaxrs-service,com.quorum.tessera.api.exception,DefaultExceptionMapper,0,25,0,0,0,8,0,3,0,3
jaxrs-service,com.quorum.tessera.api.exception,KeyNotFoundExceptionMapper,0,24,0,0,0,8,0,3,0,3
jaxrs-service,com.quorum.tessera.api.exception,AutoDiscoveryDisabledExceptionMapper,0,12,0,0,0,5,0,2,0,2
jaxrs-service,com.quorum.tessera.api.exception,EntityNotFoundExceptionMapper,0,12,0,0,0,5,0,2,0,2
jaxrs-service,com.quorum.tessera.api.exception,DecodingExceptionMapper,0,20,0,0,0,7,0,3,0,3
jaxrs-service,com.quorum.tessera.api.exception,NotFoundExceptionMapper,0,12,0,0,0,5,0,2,0,2
jaxrs-service,com.quorum.tessera.api.exception,TransactionNotFoundExceptionMapper,0,20,0,0,0,7,0,3,0,3
jaxrs-service,com.quorum.tessera.api.exception,EnclaveNotAvailableExceptionMapper,0,12,0,0,0,5,0,2,0,2
jaxrs-service,com.quorum.tessera.p2p,PartyInfoResource,0,140,0,2,0,38,0,8,0,7
jaxrs-service,com.quorum.tessera.p2p,TransactionResource,0,54,0,0,0,15,0,4,0,4
jaxrs-service,com.quorum.tessera.p2p,ApiResource,0,52,0,4,0,9,0,5,0,3
jaxrs-service,com.quorum.tessera.p2p,P2PRestApp,0,5,0,0,0,2,0,1,0,1
jaxrs-service,com.quorum.tessera.app,RestApp,0,78,2,6,0,14,2,7,0,5
jaxrs-service,com.quorum.tessera.thridparty,RawTransactionResource,0,25,0,0,0,9,0,3,0,3
jaxrs-service,com.quorum.tessera.thridparty,ThirdPartyRestApp,0,5,0,0,0,2,0,1,0,1
jaxrs-service,com.quorum.tessera.admin,ConfigResource.new GenericEntity() {...},0,7,0,0,0,1,0,1,0,1
jaxrs-service,com.quorum.tessera.admin,ConfigResource.new GenericEntity() {...},0,7,0,0,0,1,0,1,0,1
jaxrs-service,com.quorum.tessera.admin,AdminRestApp,0,5,0,0,0,2,0,1,0,1
jaxrs-service,com.quorum.tessera.admin,PublicKeyResponse,0,9,0,0,0,4,0,2,0,2
jaxrs-service,com.quorum.tessera.admin,ConfigResource,0,168,0,8,0,37,0,10,0,6
jaxrs-service,com.quorum.tessera.client,RestP2pClient,0,28,0,0,0,6,0,4,0,4
jaxrs-service,com.quorum.tessera.client,PostDelegate,0,58,0,6,0,18,0,6,0,3
jaxrs-service,com.quorum.tessera.client,RestP2pClientFactory,0,27,0,0,0,7,0,3,0,3
jaxrs-service,com.quorum.tessera.api.common,UpCheckResource,0,12,0,0,0,4,0,3,0,3
jaxrs-service,com.quorum.tessera.api.common,VersionResource,0,12,0,0,0,4,0,3,0,3
