GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
security,com.quorum.tessera.ssl.context,ServerSSLContextFactory,0,6,0,0,0,1,0,1,0,1
security,com.quorum.tessera.ssl.context,ServerSSLContextFactoryImpl,0,98,0,4,0,26,0,8,0,6
security,com.quorum.tessera.ssl.context,SSLKeyStoreLoader,0,281,0,12,0,68,0,15,0,9
security,com.quorum.tessera.ssl.context,SSLContextBuilder,0,199,0,6,0,40,0,14,0,11
security,com.quorum.tessera.ssl.context,ClientSSLContextFactory,0,6,0,0,0,1,0,1,0,1
security,com.quorum.tessera.ssl.context,ClientSSLContextFactoryImpl,0,98,0,4,0,26,0,8,0,6
security,com.quorum.tessera.ssl.util,HostnameUtil.new HostnameUtil() {...},0,3,0,0,0,1,0,1,0,1
security,com.quorum.tessera.ssl.util,TlsUtils,0,190,0,0,0,32,0,3,0,3
security,com.quorum.tessera.ssl.util,CertificateUtil,0,21,0,0,0,6,0,2,0,2
security,com.quorum.tessera.ssl.util,CertificateUtil.new CertificateUtil() {...},0,3,0,0,0,1,0,1,0,1
security,com.quorum.tessera.ssl.util,HostnameUtil,0,10,0,0,0,3,0,3,0,3
security,com.quorum.tessera.ssl.util,TlsUtils.new TlsUtils() {...},0,3,0,0,0,1,0,1,0,1
security,com.quorum.tessera.ssl.exception,TesseraSecurityException,0,4,0,0,0,2,0,1,0,1
security,com.quorum.tessera.ssl.trust,AbstractTrustManager,0,131,1,9,0,30,1,12,0,8
security,com.quorum.tessera.ssl.trust,CompositeTrustManager,0,73,0,4,0,16,0,6,0,4
security,com.quorum.tessera.ssl.trust,TrustOnFirstUseManager,0,53,0,4,0,18,0,7,0,5
security,com.quorum.tessera.ssl.trust,TrustAllManager,0,8,0,0,0,4,0,4,0,4
security,com.quorum.tessera.ssl.trust,WhiteListTrustManager,0,37,0,2,0,13,0,6,0,5
security,com.quorum.tessera.ssl.context.model,SSLContextProperties,0,57,0,0,0,20,0,10,0,10
security,com.quorum.tessera.ssl.strategy,TrustMode.new TrustMode() {...},0,29,0,0,0,14,0,2,0,2
security,com.quorum.tessera.ssl.strategy,TrustMode.new TrustMode() {...},0,27,0,0,0,14,0,2,0,2
security,com.quorum.tessera.ssl.strategy,TrustMode.new TrustMode() {...},0,27,0,0,0,14,0,2,0,2
security,com.quorum.tessera.ssl.strategy,TrustMode.new TrustMode() {...},0,29,0,0,0,14,0,2,0,2
security,com.quorum.tessera.ssl.strategy,TrustMode.new TrustMode() {...},0,29,0,0,0,14,0,2,0,2
security,com.quorum.tessera.ssl.strategy,TrustMode,0,64,0,0,0,10,0,2,0,2
